CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
3,First National Bank of Millstadt,Illinois,0,11/3/1906,-770,86287,10088,9/30/2007
3,"Magna Bank of Wood River, National Association",Illinois,0,1/1/1920,1477,110004,9357,12/31/1989
3,The City National Bank of Fort Smith,Arkansas,0,1/1/1914,3940,605652,51746,6/30/2000
3,The Citizens National Bank of Hope,Arkansas,0,1/1/1902,2139,258125,22316,6/30/2000
3,First National Bank in Mena,Arkansas,0,1/1/1911,397,118996,9728,3/31/2005
3,The First National Bank of Nashville,Arkansas,0,1/1/1917,1222,78447,6393,9/30/1998
3,State First National Bank,Arkansas,0,01/02/1896,4292,413317,32821,6/30/1998
3,The First National Bank of Bowman,North Dakota,0,12/30/1907,344,48017,3757,12/31/1994
3,"First Bank of North Dakota, National Association",North Dakota,0,07/01/1890,7599,880897,100449,12/31/1994
3,"Norwest Bank Grafton, National Association",North Dakota,0,01/01/1883,-50,63707,3930,12/31/1987
3,The First National Bank in Bristol,South Dakota,0,5/24/1916,,,,
21,Territory Bank,Oklahoma,0,1/1/1902,-19,13984,1282,9/30/2006
3,The First National Bank of Braman,Oklahoma,0,4/18/1911,-331,12218,29,3/31/1987
3,The Farmers National Bank of Cordell,Oklahoma,0,1/1/1903,125,62300,-2973,9/30/1987
21,Eighty Niner Bank of Coyle,Oklahoma,0,10/3/1903,-1,6583,546,3/31/1987
21,The Dewey Bank,Oklahoma,0,7/2/1906,,,,
21,First Southwest Bank,Oklahoma,0,3/6/1906,508,129776,15836,6/30/2001
3,The First National Bank of Guymon,Oklahoma,0,3/17/1906,174,48402,4797,9/30/1994
13,The First Bank of Haskell,Oklahoma,0,7/31/1905,427,25991,2239,12/31/2006
3,The Peoples National Bank,Oklahoma,0,03/01/1891,925,150516,14986,6/30/1997
3,The First National Bank of Leedey,Oklahoma,0,2/8/1905,100,22546,1765,3/31/1997
3,The First National Bank of Seminole,Oklahoma,0,1/1/1909,-519,37693,3517,3/31/1989
3,"Liberty Bank and Trust Company of Tulsa, National Association",Oklahoma,0,07/29/1895,2506,1118753,197503,9/30/1997
21,Bank of Commerce and Trust Company,Oklahoma,0,1/1/1904,315,182653,919,3/31/1986
3,The Waurika National Bank,Oklahoma,0,11/16/1907,35,17139,1805,3/31/2008
21,First Bank and Trust Company,Oklahoma,0,1/1/1909,53,28485,162,6/30/1989
3,The First National Bank in Madill,Oklahoma,0,12/31/1926,73,31507,2383,3/31/1989
3,Merchants National Bank of Bangor,Maine,0,01/01/1850,,,,
21,Key Bank of Northern Maine,Maine,0,11/28/1933,1112,174640,10423,9/30/1988
13,The Farmers and Citizens Banking Company,Ohio,0,11/26/1904,,,,
3,"First American Bank, National Association",District Of Columbia,0,01/01/1872,3703,1123534,91524,3/31/1993
3,The National Bank of Washington,District Of Columbia,0,01/01/1809,-63894,1650969,24237,6/30/1990
3,Riggs Bank National Association,Virginia,0,01/01/1836,-9926,5761004,415196,3/31/2005
3,First National South,South Carolina,0,9/22/1911,181,160161,11672,9/30/1998
13,Bank South,Georgia,0,12/7/1909,67826,7356647,606727,12/31/1995
3,First National Bank of Northwest Georgia,Georgia,0,1/12/1905,383,211775,18926,3/31/2001
3,"NBank, National Association",Georgia,0,1/1/1904,-1620,112258,4287,3/31/2007
3,The First National Bank of Paulding County,Georgia,0,2/1/1922,909,207322,15794,3/31/1996
3,The Gainesville National Bank,Georgia,0,1/1/1905,,,,
3,Western Bank of Chinook National Association,Montana,0,11/20/1933,127,37074,7160,3/31/2007
3,The Continental National Bank of Harlowton,Montana,0,1/1/1917,106,45189,5490,6/30/2008
3,"Norwest Bank Kalispell, National Association",Montana,0,06/19/1891,1850,111197,6382,12/31/1994
21,First Bank of Montana,Montana,0,12/15/1924,1025,279909,36331,3/31/2012
3,"First Interstate Bank of Missoula, National Association",Montana,0,04/13/1873,3061,204822,12908,9/30/1992
50,"The First National Bank and Trust, Wibaux, Montana",Montana,0,6/16/1906,39,1602,1602,9/30/1997
3,"Wells Fargo Bank Wyoming, National Association",Wyoming,0,1/1/1914,25550,2153446,148188,9/30/2003
3,The American National Bank,Wyoming,0,12/4/1919,6002,313608,22197,12/31/2003
